Продукт,Калорийность,Белки,Жиры,Углеводы
Слойка с Сосиской [Пятерочка],346 кКал,8 г,20 г,"33,5 г"
Слойка с Сырной Начинкой [Пятерочка],390 кКал,10 г,23 г,35 г
Слойка с Творогом и Изюмом [Пятерочка],290 кКал,9 г,11 г,39 г
Слойка с Яблоком [Пятерочка],290 кКал,"3,5 г",13 г,39 г
Слойка со Смородиной [Пятерочка],347 кКал,5 г,17 г,44 г
Сметана [Пятерочка],160 кКал,"2,6 г",15 г,"3,6 г"
Сок [Пятерочка],45 кКал,0 г,0 г,11 г
Сочень с Творогом [Пятерочка],240 кКал,9 г,7 г,34 г
Студень Сытный [Пятерочка],130 кКал,9 г,10 г,0 г
Сухофрукты и Орехи [Пятерочка],590 кКал,"13,5 г","46,1 г","29,4 г"
Сыр Гауда [Пятерочка],356 кКал,25 г,27 г,0 г
Сыр Гауда 45% [Пятерочка],338 кКал,26 г,26 г,0 г
Сыр Голландский Красная Цена [Пятерочка],332 кКал,"26,3 г","25,2 г",0 г
Сыр по-Российски Классический [Пятерочка],322 кКал,23 г,28 г,0 г
Сыр Пошехонский [Пятерочка],320 кКал,"24,6 г","25,2 г",0 г
Сыр Российский 45% [Пятерочка],330 кКал,"24,5 г","25,5 г",0 г
Сыр Российский Красная Цена [Пятерочка],342 кКал,"22,5 г",28 г,0 г
Сыр Российский Красная Цена [Пятерочка],342 кКал,"22,5 г",28 г,0 г
Сыр Сливочный Город Сыра [Пятерочка],343 кКал,9 г,"30,8 г","7,5 г"
"Сыр Творожный ""Свежий"" [Пятерочка]",122 кКал,11 г,7 г,"3,8 г"
Сыр Тильзитер [Пятерочка],337 кКал,25 г,24 г,0 г
Сыр Тильзитер Liebendorf [Пятерочка],320 кКал,23 г,25 г,0 г
Сыр Топленое Молоко [Пятерочка],353 кКал,"24,2 г","24,3 г",0 г
Сырники [Пятерочка],209 кКал,"18,5 г","5,7 г","21,4 г"
Сырники из Творога Жареные Охлажденные [Пятерочка],214 кКал,13 г,8 г,"22,5 г"
Сырный Продукт [Пятерочка],360 кКал,23 г,28 г,0 г
Сырный Продукт Российский Классический [Пятерочка],323 кКал,"22,8 г","25,8 г",0 г
Сырок Творожный [Пятерочка],363 кКал,10 г,23 г,29 г
Тарталетки для Икры [Пятерочка],480 кКал,"7,5 г",25 г,49 г
Твист с Творожно-Лимонной Начинкой [Пятерочка],370 кКал,"6,5 г",25 г,29 г
"Творог 0,5% [Пятерочка]",90 кКал,18 г,"0,5 г","3,3 г"
"Творог 1,7% [Пятерочка]",85 кКал,18 г,"1,7 г","3,3 г"
"Творог 1,8% [Пятерочка]",93 кКал,18 г,"1,8 г","1,3 г"
Творог 5% [Пятерочка],121 кКал,16 г,5 г,3 г
Творог 9% [Пятерочка],160 кКал,16 г,9 г,3 г
Творог Обезжиренный [Пятерочка],75 кКал,14 г,"0,7 г","3,3 г"
Творожная Запеканка с Изюмом [Пятерочка],243 кКал,14 г,"6,9 г",31 г
Томатная Паста [Пятерочка],82 кКал,"4,7 г","0,4 г","14,9 г"
Торнадо Энергетик [Пятерочка],55 кКал,0 г,0 г,"13,5 г"
Треска [Пятерочка],73 кКал,16 г,1 г,0 г
Турновер с Ветчиной и Сыром [Пятерочка],370 кКал,8 г,26 г,27 г
Турновер с Картофелем и Грибами [Пятерочка],327 кКал,5 г,20 г,32 г
Тыква Баттернат [Пятерочка],45 кКал,1 г,"0,1 г","9,7 г"
Уголок с Творожной Начинкой [Пятерочка],319 кКал,"8,5 г","12,8 г","42,3 г"
Уголок с Яблочной Начинкой [Пятерочка],311 кКал,"4,8 г","10,5 г","49,1 г"
Улитка Греческая с Курицей и Картофелем [Пятерочка],226 кКал,"8,7 г","6,7 г","32,6 г"
Улитка Греческая с Мясом [Пятерочка],345 кКал,8 г,"18,5 г","35,8 г"
Улитка Греческая с Творогом [Пятерочка],338 кКал,"8,1 г","16,5 г","38,4 г"
Улитка Греческая со Шпинатом и Сыром [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Улитка Косичка Картофель Бекон Шпинат [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Улитка Косичка Курица/Рис/Овощи [Пятерочка],231 кКал,8 г,"6,5 г",35 г
Улитка Косичка Сыр Картофель Бекон [Пятерочка],230 кКал,9 г,"7,5 г","31,5 г"
Улитка с Изюмом и Заварным Кремом [Пятерочка],315 кКал,"5,8 г",12 г,44 г
Улитка с Кремом и Корицей [Пятерочка],280 кКал,"5,5 г",12 г,40 г
Улитка с Повидлом [Пятерочка],240 кКал,9 г,7 г,35 г
Улитка с Сыром и Шпинатом [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Фаготтини с Клубникой [Пятерочка],376 кКал,6 г,"13,2 г","58,6 г"
Фаготтини с Сыром и Ветчиной [Пятерочка],382 кКал,"10,8 г","19,4 г","40,4 г"
Фарш Говяжий (Рестория) [Пятерочка],255 кКал,12 г,23 г,0 г
Фатир с Луком [Пятерочка],398 кКал,"10,5 г",6 г,65 г
Филе Грудки [Пятерочка],96 кКал,15 г,4 г,0 г
Финики [Пятерочка],264 кКал,"2,3 г","0,5 г","71,9 г"
Хачапури с Курицей и Грибами [Пятерочка],470 кКал,15 г,28 г,40 г
Хачапури с Сыром [Пятерочка],335 кКал,"10,1 г","19,6 г","28,5 г"
Хачапури с Сыром и Ветчиной [Пятерочка],572 кКал,18 г,37 г,40 г
Хлеб Sibirien Korn Brot [Пятерочка],228 кКал,"6,2 г","2,3 г","48,9 г"
Хлеб Бабушкин [Пятерочка],234 кКал,"7,3 г","0,8 г","49,3 г"
Хлеб Бородинский Семечко [Пятерочка],305 кКал,"5,5 г","10,7 г","49,7 г"
Хлеб Венский [Пятерочка],214 кКал,12 г,1 г,"38,5 г"
Хлеб Гречишный [Пятерочка],244 кКал,7 г,3 г,46 г
Хлеб Даниловский [Пятерочка],280 кКал,"9,5 г",6 г,46 г
Хлеб Домашний на Молоке [Пятерочка],239 кКал,8 г,1 г,50 г
Хлеб Древнерусский [Пятерочка],201 кКал,10 г,1 г,38 г
Хлеб Заварной [Пятерочка],248 кКал,"6,6 г",1 г,"51,8 г"
Хлеб Зерновой [Пятерочка],274 кКал,"9,2 г","6,6 г","44,4 г"
Хлеб Зерновой Зож [Пятерочка],210 кКал,"8,5 г",0 г,39 г
Хлеб Зерновой Мультизлаковый со Льном [Пятерочка],228 кКал,"6,2 г","2,3 г","48,9 г"
Хлеб Маисовый [Пятерочка],240 кКал,"7,5 г",2 г,46 г
Хлеб Отличный с Чесноком [Пятерочка],229 кКал,"8,3 г","3,3 г","58,8 г"
Хлеб Парижский [Пятерочка],300 кКал,10 г,4 г,55 г
Хлеб Питерский [Пятерочка],210 кКал,"7,4 г","1,2 г","42,6 г"
Хлеб Пури Грузинский [Пятерочка],220 кКал,"8,5 г","0,9 г","55,9 г"
Хлеб Рустик с Пророщенным Зерном [Пятерочка],210 кКал,"6,4 г","5,9 г",33 г
Хлеб с Отрубями [Пятерочка],268 кКал,10 г,"2,7 г",51 г
Хлеб с Семенами Подсолнечника [Пятерочка],269 кКал,"7,5 г",13 г,"30,5 г"
Хлеб Фермерский [Пятерочка],200 кКал,"6,7 г","5,2 г","32,6 г"
Хлебушек Чёрный Русский [Пятерочка],260 кКал,8 г,"2,5 г",50 г
Холодец [Пятерочка],31 кКал,"6,3 г","0,5 г","0,2 г"
Хумус [Пятерочка],345 кКал,16 г,25 г,14 г
Хурма [Пятерочка],66 кКал,"0,5 г","0,3 г","15,3 г"
Цыпленок-Гриль [Пятерочка],237 кКал,27 г,"13,5 г",0 г
Чебурек [Пятерочка],226 кКал,11 г,10 г,23 г
Черешня [Пятерочка],50 кКал,"1,1 г","0,4 г","11,5 г"
Чернослив [Пятерочка],277 кКал,"2,3 г","0,9 г",67 г
Чернослив Фруктовый Батончик [Пятерочка],200 кКал,"2,5 г",1 г,48 г
Чеснок [Пятерочка],143 кКал,"6,5 г","0,5 г","29,9 г"
Чиабатта [Пятерочка],269 кКал,"9,4 г","2,6 г","50,8 г"
Чиабатта Классическая [Пятерочка],248 кКал,"7,6 г","1,2 г",51 г
Чиабатта Солодовая [Пятерочка],255 кКал,"8,2 г","1,5 г","52,2 г"
Чипсы Московский Картофель [Пятерочка],570 кКал,"5,5 г",40 г,46 г
Шампиньоны [Пятерочка],27 кКал,"4,3 г",0 г,"0,1 г"
Штрудель Киви [Пятерочка],410 кКал,5 г,30 г,34 г
Элеш с Курицей [Пятерочка],226 кКал,"10,9 г","11,2 г","20,4 г"
Яблоко Голден [Пятерочка],53 кКал,"0,5 г","0,2 г","10,7 г"
Яблоко Красное [Пятерочка],47 кКал,"0,4 г","0,4 г","9,8 г"
Яблоко Роял Гала [Пятерочка],46 кКал,"0,4 г",0 г,"11,2 г"
Яблоко Сезонное [Пятерочка],47 кКал,"0,4 г","0,4 г","9,8 г"
Яйца [Пятерочка],157 кКал,"12,7 г","11,5 г","0,7 г"
Ячневая Анна [Пятерочка],63 кКал,"2,4 г","1,7 г","9,5 г"
